id_revision,prioridad_revision,tipo_revision,comentario,comentario_limpio,empresa,sede,rubro,estrellas,sentimiento_estrella,sentimiento_modelo,confianza_modelo,prob_neg,prob_neu,prob_pos,sentimiento_final,sentimiento_final_provisional,confianza_etiqueta,motivo_revision_etiqueta,sentimiento_manual,observacion_manual
1,1,posible_neutral_ambiguo,"No me gusta este nuevo formato que han adquirido la cadena de metro, han hecho espacio para ropa, zapatos y no han considerado poner en su stock productos orgánicos, naturales que ayudaría a la alimentación de la pobablacion","No me gusta este nuevo formato que han adquirido la cadena de metro, han hecho espacio para ropa, zapatos y no han considerado poner en su stock productos orgánicos, naturales que ayudaría a la alimentación de la pobablacion",Metro,San Miguel,Retail,3,neutral,NEG,0.9833364486694336,0.9833364486694336,0.014361840672791,0.0023017895873636,,neutral,baja,sin_etiqueta_final_confiable,,
2,1,posible_neutral_ambiguo,"Estuvo muy lleno, hay cajas vacíos y no atienden, el señor del modulo de paraíso se enoja por poner las cosas en el colchón y lo pide de mala manera, mejoren el personal","Estuvo muy lleno, hay cajas vacíos y no atienden, el señor del modulo de paraíso se enoja por poner las cosas en el colchón y lo pide de mala manera, mejoren el personal",Oechsle,Jockey Plaza,Retail,3,neutral,NEG,0.98233163356781,0.98233163356781,0.0151446992531418,0.0025236532092094,,neutral,baja,sin_etiqueta_final_confiable,,
3,1,posible_neutral_ambiguo,Unas bonitas instalaciones y sus promociones son muy buenas,Unas bonitas instalaciones y sus promociones son muy buenas,BBVA,San Isidro,Banca,3,neutral,POS,0.9818653464317322,0.00232625589706,0.0158083830028772,0.9818653464317322,,neutral,baja,sin_etiqueta_final_confiable,,
4,1,posible_neutral_ambiguo,No hay mucha variedad y la marca propia es de baja calidad. Poca amabilidad 👎…,No hay mucha variedad y la marca propia es de baja calidad. Poca amabilidad 👎…,Oechsle,Jockey Plaza,Retail,3,neutral,NEG,0.9814513325691224,0.9814513325691224,0.0161260906606912,0.0024225506931543,,neutral,baja,sin_etiqueta_final_confiable,,
5,1,posible_neutral_ambiguo,"Es como Saga, ya no hay tanta variedad y los descuentos son en pocas prendas de vestir. Yo fui buscando una casaca de drill o algodón y lo único q tienen son esas casacas impermeables o polyester. Que decepcionado me fui.","Es como Saga, ya no hay tanta variedad y los descuentos son en pocas prendas de vestir. Yo fui buscando una casaca de drill o algodón y lo único q tienen son esas casacas impermeables o polyester. Que decepcionado me fui.",Ripley,Miraflores,Retail,3,neutral,NEG,0.9810491800308228,0.9810491800308228,0.0172769986093044,0.0016737831756472,,neutral,baja,sin_etiqueta_final_confiable,,
6,1,posible_neutral_ambiguo,"El nuevo diseño minimalista, similar al que inicio Interbank, contrasta con la deficiente atencion del personal de estaoficina principal del banco, ni siquiera hay un encargado o responsable ante la ausencia del gerente de oficina por vacaciones, y el problema que reporte sin solucionar, ha demejorado el servicio de este banco.","El nuevo diseño minimalista, similar al que inicio Interbank, contrasta con la deficiente atencion del personal de estaoficina principal del banco, ni siquiera hay un encargado o responsable ante la ausencia del gerente de oficina por vacaciones, y el problema que reporte sin solucionar, ha demejorado el servicio de este banco.",BBVA,San Isidro,Banca,3,neutral,NEG,0.9809433817863464,0.9809433817863464,0.0166038796305656,0.0024528191424906,,neutral,baja,sin_etiqueta_final_confiable,,
7,1,posible_neutral_ambiguo,"El baño es un caos. Hay algunos productos que ya no encuentro y antes si habían. Como en todo metro esa letra pequeña de ""solo con tarjeta bonus"" fastidia al momento de comprar, hay algunos productos que ni lo tienen y te malogran el día cuando ya estas en caja por pagar, deberían ponerlo mas notable.","El baño es un caos. Hay algunos productos que ya no encuentro y antes si habían. Como en todo metro esa letra pequeña de ""solo con tarjeta bonus"" fastidia al momento de comprar, hay algunos productos que ni lo tienen y te malogran el día cuando ya estas en caja por pagar, deberían ponerlo mas notable.",Metro,Breña,Retail,3,neutral,NEG,0.980781316757202,0.980781316757202,0.017290411517024,0.0019281884888187,,neutral,baja,sin_etiqueta_final_confiable,,
8,1,posible_neutral_ambiguo,La Atención pésima y contestan por compromiso gran favor que nos hacen igual a Nada.,La Atención pésima y contestan por compromiso gran favor que nos hacen igual a Nada.,Movistar,San Isidro,Telecomunicaciones,3,neutral,NEG,0.9803925156593324,0.9803925156593324,0.0161786749958992,0.0034288230817764,,neutral,baja,sin_etiqueta_final_confiable,,
9,1,posible_neutral_ambiguo,"Le falta mejorar el servicio de atención al cliente porque demoran demasiado en la atención,lo peor es que no hay respeto por lo preferencial","Le falta mejorar el servicio de atención al cliente porque demoran demasiado en la atención,lo peor es que no hay respeto por lo preferencial",Claro,Jockey Plaza,Telecomunicaciones,3,neutral,NEG,0.9800066351890564,0.9800066351890564,0.0168233308941125,0.0031700823456048,,neutral,baja,sin_etiqueta_final_confiable,,
10,1,posible_neutral_ambiguo,"Es un lugar donde puedes encontrar de todo a buenos precios.. Lo malo es que las personas de seguridad se creen autoridad para darte órdenes, eso me parece una falta de respeto..","Es un lugar donde puedes encontrar de todo a buenos precios.. Lo malo es que las personas de seguridad se creen autoridad para darte órdenes, eso me parece una falta de respeto..",Plaza Vea,Universitaria,Retail,3,neutral,NEG,0.9795448780059814,0.9795448780059814,0.0161910615861415,0.0042639602907001,,neutral,baja,sin_etiqueta_final_confiable,,
